layer_name,layer_idx,class_i,class_j,cosine_similarity
features.2,1,7,1,0.2671906352043152
features.2,1,7,2,0.45336154103279114
features.2,1,7,3,0.3760594427585602
features.2,1,7,4,0.615920901298523
features.2,1,7,5,0.06903478503227234
features.2,1,7,6,0.008123597130179405
features.2,1,7,8,0.011970490217208862
features.2,1,7,9,0.6724227666854858
features.2,1,8,0,0.3222483992576599
features.2,1,8,1,0.08176824450492859
features.2,1,8,2,0.10193441808223724
features.2,1,8,3,0.3970322012901306
features.2,1,8,4,0.1789584755897522
features.2,1,8,5,0.6904084086418152
features.2,1,8,6,0.2639213800430298
features.2,1,8,7,0.011970490217208862
features.2,1,8,9,0.054000481963157654
features.2,1,9,0,0.5217205882072449
features.2,1,9,1,0.4982532262802124
features.2,1,9,2,0.6613316535949707
features.2,1,9,3,0.19016481935977936
features.2,1,9,4,0.603608250617981
features.2,1,9,5,0.04934743046760559
features.2,1,9,6,0.05558931827545166
features.2,1,9,7,0.6724227666854858
features.2,1,9,8,0.054000481963157654
features.5,2,0,1,0.08739934861660004
features.5,2,0,2,0.26006898283958435
features.5,2,0,3,0.36593741178512573
features.5,2,0,4,0.06602980196475983
features.5,2,0,5,0.2095276266336441
features.5,2,0,6,0.10119222104549408
features.5,2,0,7,0.13553182780742645
features.5,2,0,8,0.35734087228775024
features.5,2,0,9,0.277260422706604
features.5,2,1,0,0.08739934861660004
features.5,2,1,2,0.12939754128456116
features.5,2,1,3,0.2217651903629303
features.5,2,1,4,0.18442973494529724
features.5,2,1,5,0.3680683970451355
features.5,2,1,6,0.054339323192834854
features.5,2,1,7,0.006808668375015259
features.5,2,1,8,0.026152506470680237
features.5,2,1,9,0.3182615339756012
features.5,2,2,0,0.26006898283958435
features.5,2,2,1,0.12939754128456116
features.5,2,2,3,0.4830790162086487
features.5,2,2,4,0.10698722302913666
features.5,2,2,5,0.5119490623474121
features.5,2,2,6,0.19205668568611145
features.5,2,2,7,0.2281162589788437
features.5,2,2,8,0.20182546973228455
features.5,2,2,9,0.456928551197052
features.5,2,3,0,0.36593741178512573
features.5,2,3,1,0.2217651903629303
features.5,2,3,2,0.4830790162086487
features.5,2,3,4,0.5415374636650085
features.5,2,3,5,0.5305911302566528
features.5,2,3,6,0.13759827613830566
features.5,2,3,7,0.40889644622802734
features.5,2,3,8,0.12368202954530716
features.5,2,3,9,0.06709951162338257
features.5,2,4,0,0.06602980196475983
features.5,2,4,1,0.18442973494529724
features.5,2,4,2,0.10698722302913666
features.5,2,4,3,0.5415374636650085
features.5,2,4,5,0.3297889232635498
features.5,2,4,6,0.4528217017650604
features.5,2,4,7,0.5203290581703186
features.5,2,4,8,0.03015429899096489
features.5,2,4,9,0.2805090546607971
features.5,2,5,0,0.2095276266336441
features.5,2,5,1,0.3680683970451355
features.5,2,5,2,0.5119490623474121
features.5,2,5,3,0.5305911302566528
features.5,2,5,4,0.3297889232635498
features.5,2,5,6,0.10247715562582016
features.5,2,5,7,0.014644347131252289
features.5,2,5,8,0.513782799243927
features.5,2,5,9,0.12122499197721481
features.5,2,6,0,0.10119222104549408
features.5,2,6,1,0.054339323192834854
features.5,2,6,2,0.19205668568611145
features.5,2,6,3,0.13759827613830566
features.5,2,6,4,0.4528217017650604
features.5,2,6,5,0.10247715562582016
features.5,2,6,7,0.06913026422262192
features.5,2,6,8,0.22355923056602478
features.5,2,6,9,0.021908391267061234
features.5,2,7,0,0.13553182780742645
features.5,2,7,1,0.006808668375015259
features.5,2,7,2,0.2281162589788437
features.5,2,7,3,0.40889644622802734
features.5,2,7,4,0.5203290581703186
features.5,2,7,5,0.014644347131252289
features.5,2,7,6,0.06913026422262192
features.5,2,7,8,0.18617691099643707
features.5,2,7,9,0.35097000002861023
features.5,2,8,0,0.35734087228775024
features.5,2,8,1,0.026152506470680237
features.5,2,8,2,0.20182546973228455
features.5,2,8,3,0.12368202954530716
features.5,2,8,4,0.03015429899096489
features.5,2,8,5,0.513782799243927
features.5,2,8,6,0.22355923056602478
features.5,2,8,7,0.18617691099643707
features.5,2,8,9,0.17810413241386414
features.5,2,9,0,0.277260422706604
features.5,2,9,1,0.3182615339756012
features.5,2,9,2,0.456928551197052
